"Generation" "SexRatio" "Females" "Males" "LinkageGroup" "Origin" "Haplotype" "SPY" "SPA" "AY" "AA" "BY" "BA" "RY" "RA" "MaleDeterminer"
700 0.499758141846695 0.0849214195978618 0.0848393035678447 "A" "Maternal" "00" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
700 0.499758141846695 0.415320438555443 0.414918838278851 "A" "Maternal" "01" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
700 0.499758141846695 0 0 "A" "Maternal" "10" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
700 0.499758141846695 0 0 "A" "Maternal" "11" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
700 0.499758141846695 0.0825405707072745 0.082460756874511 "A" "Paternal" "00" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
700 0.499758141846695 0.41770128744603 0.417297384972184 "A" "Paternal" "01" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
700 0.499758141846695 0 0 "A" "Paternal" "10" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
700 0.499758141846695 0 0 "A" "Paternal" "11" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
800 0.499760921713409 0 0.107939912141983 "XY" "Maternal" "00" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
800 0.499760921713409 0 0.391821009571426 "XY" "Maternal" "01" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
800 0.499760921713409 0.137753791452477 0 "XY" "Maternal" "10" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
800 0.499760921713409 0.362485286834114 0 "XY" "Maternal" "11" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
800 0.499760921713409 0.105018668513236 0.104987625679422 "XY" "Paternal" "00" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
800 0.499760921713409 0.395220409773355 0.394773296033986 "XY" "Paternal" "01" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
800 0.499760921713409 0 0 "XY" "Paternal" "10" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
800 0.499760921713409 0 0 "XY" "Paternal" "11" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
800 0.499760921713409 0.0838056739539839 0.0837255677895309 "A" "Maternal" "00" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
800 0.499760921713409 0.416433404332607 0.416035353923878 "A" "Maternal" "01" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
800 0.499760921713409 0 0 "A" "Maternal" "10" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
800 0.499760921713409 0 0 "A" "Maternal" "11" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
800 0.499760921713409 0.0814500222331104 0.0813721677327182 "A" "Paternal" "00" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
800 0.499760921713409 0.418789056053481 0.418388753980691 "A" "Paternal" "01" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
800 0.499760921713409 0 0 "A" "Paternal" "10" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
800 0.499760921713409 0 0 "A" "Paternal" "11" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
900 0.499763029156479 0 0.105830983196444 "XY" "Maternal" "00" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
900 0.499763029156479 0 0.393932045960035 "XY" "Maternal" "01" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
900 0.499763029156479 0.135276504017865 0 "XY" "Maternal" "10" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
900 0.499763029156479 0.364960466825656 0 "XY" "Maternal" "11" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
900 0.499763029156479 0.102948630373361 0.102918578225928 "XY" "Paternal" "00" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
900 0.499763029156479 0.39728834047016 0.39684445093055 "XY" "Paternal" "01" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
900 0.499763029156479 0 0 "XY" "Paternal" "10" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
900 0.499763029156479 0 0 "XY" "Paternal" "11" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
900 0.499763029156479 0.0828993174773059 0.0828207758167132 "A" "Maternal" "00" 0.01 0.01 -0.5 -0.5 2.95 2.95 0.05 0.05 0
